,Symptom,Population_density
3095,b,371.1442597
3096,a,371.1442597
3099,e,371.1442597
3102,a,371.1442597
3103,a,371.1442597
3108,a,371.1442597
3111,e,371.1442597
3120,b,371.1442597
3123,a,371.1442597
3124,e,371.1442597
3127,c,371.1442597
5308,e,371.1442597
5309,a,371.1442597
5312,b,371.1442597
5313,b,371.1442597
5314,b,371.1442597
5315,a,371.1442597
5319,e,371.1442597
5320,b,371.1442597
5322,a,371.1442597
5324,b,371.1442597
5326,e,371.1442597
5327,a,371.1442597
5329,c,371.1442597
5331,c,371.1442597
5333,e,371.1442597
5334,a,371.1442597
5335,b,371.1442597
5336,c,371.1442597
5337,b,371.1442597
5338,a,371.1442597
5342,e,371.1442597
5343,c,371.1442597
4527,a,371.5785056
6866,b,371.7647359
7386,c,371.7647359
3287,a,372.3209492
3291,a,372.3209492
3293,a,372.3209492
3294,e,372.3209492
3296,e,372.3209492
3297,a,372.3209492
3301,b,372.3209492
5556,c,372.3209492
5557,a,372.3209492
5558,a,372.3209492
5559,b,372.3209492
5560,c,372.3209492
5562,e,372.3209492
5565,a,372.3209492
5566,a,372.3209492
5567,a,372.3209492
5569,e,372.3209492
5570,b,372.3209492
5572,e,372.3209492
11116,a,373.0980138
3327,a,373.1028562
9624,c,373.1485446
2587,a,373.249311
2617,b,373.249311
2635,a,373.249311
4689,a,373.249311
4695,a,373.249311
4708,a,373.249311
4731,a,373.249311
4736,b,373.249311
4765,c,373.249311
4768,c,373.249311
4772,e,373.249311
4778,a,373.249311
4616,b,373.6743563
4621,a,373.6743563
4649,b,373.6743563
8801,e,373.976927
962,a,375.1886035
6573,e,375.5187238
7285,a,375.5187238
7369,e,375.5187238
7431,a,375.5187238
8902,b,375.5187238
9407,c,375.5187238
9684,a,375.5187238
9710,e,375.5187238
